frase,situacao
Sinto uma dor forte no peito e falta de ar,alto risco
Estou com muita dificuldade para respirar e dor no braço,alto risco
Meu coração está batendo muito rápido e sinto tontura,alto risco
Dor aguda no tórax que irradia para as costas,alto risco
Sinto um aperto no peito como se fosse um peso,alto risco
Falta de ar extrema mesmo em repouso,alto risco
Cansaço excessivo e inchaço nas pernas,alto risco
Desmaiei após sentir palpitações fortes,alto risco
Suor frio e dor intensa no peito,alto risco
Não consigo respirar direito faz horas,alto risco
Tive um leve incômodo nas costas hoje,baixo risco
Senti uma pontada rápida no dente,baixo risco
Estou com um pouco de zumbido no ouvido,baixo risco
Leve formigamento no pé após ficar sentado,baixo risco
Dor de cabeça leve que passa com repouso,baixo risco
Sinto um cansaço normal depois do trabalho,baixo risco
Um pequeno desconforto no pescoço,baixo risco
Sensibilidade leve nos dentes ao beber gelado,baixo risco
Nariz escorrendo e espirros,baixo risco
Leve coceira na pele,baixo risco
Dor muscular após exercício físico,baixo risco
Olhos secos após usar o computador,baixo risco
Senti um pequeno estalo no joelho ao andar,baixo risco
Unha encravada causando leve dor,baixo risco
Garganta um pouco seca pela manhã,baixo risco
Leve queimação no estômago após comer muito,baixo risco
Dor no peito intensa e persistente,alto risco
Dificuldade súbita de fala e fraqueza,alto risco
Cansaço extremo e lábios arroxeados,alto risco
Pressão alta e dor de cabeça muito forte,alto risco
